year,timerange,Total_Deaths,Total_Injuries
2013,Afternoon,7,23
2013,Evening,8,45
2013,Morning,0,4
2013,Night,7,47
2014,Afternoon,4,17
2014,Evening,13,31
2014,Morning,0,9
2014,Night,10,19
2015,Afternoon,5,27
2015,Evening,6,50
2015,Morning,4,9
2015,Night,11,40
2016,Afternoon,6,20
2016,Evening,19,57
2016,Morning,2,10
2016,Night,14,65
2017,Afternoon,3,25
2017,Evening,20,63
2017,Morning,2,8
2017,Night,14,52
2018,Afternoon,5,29
2018,Evening,23,67
2018,Morning,5,8
2018,Night,18,74
2019,Afternoon,9,47
2019,Evening,17,99
2019,Morning,1,15
2019,Night,17,79
2020,Afternoon,10,29
2020,Evening,20,91
2020,Morning,4,14
2020,Night,5,44
2021,Afternoon,5,26
2021,Evening,23,75
2021,Morning,1,5
2021,Night,17,57
2022,Afternoon,14,24
2022,Evening,19,50
2022,Morning,1,12
2022,Night,10,64
2023,Afternoon,5,41
2023,Evening,15,34
2023,Morning,2,8
2023,Night,7,56
